,SMILES,gap
0,C,0.5048
1,N,0.3399
2,O,0.3615
3,C#C,0.3351
4,C#N,0.3796
5,C=O,0.2263
6,CC,0.4426
7,CO,0.3437
8,CC#C,0.3222
9,CC#N,0.364
10,CC=O,0.2342
11,NC=O,0.2845
12,CCC,0.4179
13,CCO,0.3417
14,COC,0.3435
15,C1CC1,0.393
16,C1CO1,0.3724
17,CC(C)=O,0.2344
18,CC(N)=O,0.2783
19,NC(N)=O,0.3051
20,CC(C)C,0.401
21,CC(C)O,0.3351
22,C#CC#C,0.2386
23,C#CC#N,0.2559
24,N#CC#N,0.277
25,O=CC#C,0.2042
26,O=CC#N,0.2066
27,O=CC=O,0.1555
28,CC#CC,0.3096
29,CCC#C,0.3157
30,CCC#N,0.3553
31,NCC#N,0.2855
32,OCC#C,0.2872
33,OCC#N,0.3039
34,CCC=O,0.2295
35,CNC=O,0.2851
36,COC=O,0.2888
37,OCC=O,0.2196
38,CCCC,0.4107
39,CCCO,0.3429
40,CCOC,0.3428
41,OCCO,0.3179
42,CC1CC1,0.3738
43,CC1CO1,0.3685
44,CN1CC1,0.3271
45,OC1CC1,0.3166
46,C1CCC1,0.3938
47,C1COC1,0.3283
48,CC(C)=NO,0.2584
49,N1C=CC=C1,0.2528
50,N1C=CN=C1,0.2585
51,O1C=CC=C1,0.2445
52,O1C=CN=C1,0.2519
53,CC(C)(C)C,0.3882
54,CC(C)(C)O,0.3265
55,CC(=O)C#C,0.2079
56,CC(=O)C#N,0.2118
57,NC(=N)C#N,0.2301
58,NC(=O)C#C,0.2352
59,CC(=O)C=O,0.1574
60,NC(=N)C=O,0.192
61,NC(=O)C=O,0.177
62,CC(C)C#C,0.316
63,CC(C)C#N,0.3545
64,CC(N)C#N,0.2983
65,CC(O)C#C,0.3001
66,CC(O)C#N,0.3166
67,CC(C)C=O,0.2281
68,CC(O)C=O,0.2271
69,CN(C)C=O,0.2751
70,CC(=O)CO,0.2437
71,CCC(C)=O,0.2351
72,CCC(N)=O,0.2793
73,CNC(C)=O,0.2805
74,CNC(N)=O,0.3034
75,COC(C)=N,0.2948
76,COC(C)=O,0.2859
77,COC(N)=O,0.3244
78,NC(=O)CO,0.2733
79,[NH3+]CC([O-])=O,0.2735
80,CC(C)CO,0.3418
81,CC(O)CO,0.3228
82,CCC(C)C,0.3934
83,CCC(C)O,0.335
84,COC(C)C,0.3336
85,CC1(C)CC1,0.3526
86,CC1(C)CO1,0.3505
87,CC1(O)CC1,0.327
88,N=C1CCO1,0.2907
89,O=C1CCC1,0.2222
90,O=C1CCN1,0.288
91,O=C1CCO1,0.2878
92,O=C1CNC1,0.2179
93,O=C1COC1,0.2295
94,CC1CCC1,0.3823
95,CC1CCO1,0.3325
96,CC1COC1,0.3233
97,OC1CCC1,0.3361
98,OC1COC1,0.3069
99,CC1CC1C,0.3573
100,CC1CC1O,0.334
101,CC1CN1C,0.313
102,CC1OC1C,0.3557
103,OC1CC1O,0.3011
104,C1C2CC1C2,0.4056
105,C1C2CC1O2,0.3346
106,C#CCC#C,0.2978
107,C#CCC#N,0.3022
108,N#CCC#N,0.3344
109,O=CCC#C,0.2245
110,O=CCC#N,0.23
111,N=CNC=O,0.2276
112,N=COC=O,0.2636
113,O=CNC=O,0.2191
114,CC#CC#C,0.2335
115,CC#CC#N,0.2494
116,CC#CC=O,0.2051
117,CC#CCO,0.2789
118,CCC#CC,0.3033
119,COC=NC,0.2732
120,CCCC#C,0.3169
121,CCCC#N,0.355
122,CNCC#N,0.2698
123,COCC#C,0.2889
124,COCC#N,0.2939
125,OCCC#C,0.3174
126,OCCC#N,0.3237
127,CCCC=O,0.2292
128,CCNC=O,0.2834
129,CCOC=O,0.2868
130,COCC=O,0.2295
131,OCCC=O,0.225
132,CCCCC,0.403
133,CCCCO,0.3428
134,CCCOC,0.3426
135,CCOCC,0.3414
136,COCCO,0.3431
137,OCCCO,0.3386
138,C#CC1CC1,0.2928
139,C#CC1CN1,0.2744
140,C#CC1CO1,0.2839
141,N#CC1CC1,0.322
142,N#CC1CN1,0.2851
143,N#CC1CO1,0.3004
144,O=CC1CC1,0.2329
145,O=CC1CN1,0.2258
146,O=CC1CO1,0.2217
147,O=CN1CC1,0.2542
148,CCC1CC1,0.3709
149,CCC1CO1,0.3599
150,CCN1CC1,0.3249
151,COC1CC1,0.3395
152,OCC1CC1,0.339
153,OCC1CN1,0.3113
154,OCC1CO1,0.3418
155,C1CC=CC1,0.2661
156,C1CN=CO1,0.272
157,C1OCC=C1,0.2491
158,C1CCCC1,0.3922
159,C1CCOC1,0.3304
160,C1COCO1,0.3437
161,C1C2CCC12,0.3506
162,C1C2COC12,0.319
163,C1CC2OC12,0.3468
164,N1C=CC=N1,0.2677
165,N1C=CN=N1,0.2618
166,N1C=NC=N1,0.2764
167,N1C=NN=C1,0.2715
168,N1N=CC=N1,0.2687
169,O1C=CC=N1,0.2538
170,O1C=CN=N1,0.2422
171,O1C=NC=N1,0.2719
172,O1C=NN=C1,0.2711
173,O1C=NN=N1,0.2667
174,O1N=CC=N1,0.2698
175,O1N=CN=N1,0.2563
176,O1N=NN=N1,0.2598
177,CC(=NO)C#C,0.2068
178,CC(CO)=NO,0.2567
179,CCC(C)=NO,0.2562
180,ON=C1CCC1,0.2479
181,ON=C1CNC1,0.2326
182,ON=C1COC1,0.2452
183,FC(F)(F)F,0.6221
184,N=C1NC=CO1,0.2235
185,N=C1OC=CO1,0.238
186,O=C1NC=CN1,0.2357
187,O=C1NC=CO1,0.2422
188,O=C1OC=CO1,0.2556
189,CC1=CC=CN1,0.243
190,CC1=CC=CO1,0.2363
191,CC1=CN=CO1,0.243
192,CC1=NC=CO1,0.2453
193,NC1=CC=CN1,0.2406
194,NC1=CC=CO1,0.2241
195,NC1=CN=CO1,0.2251
196,NC1=NC=CO1,0.2373
197,OC1=CC=CN1,0.2449
198,OC1=CN=CN1,0.247
199,OC1=NC=CN1,0.2555
200,CC1=CNC=C1,0.2515
201,CC1=CNC=N1,0.2533
202,CC1=COC=C1,0.2434
203,CC1=COC=N1,0.2468
204,NC1=CNC=C1,0.2299
205,NC1=CNC=N1,0.2241
206,NC1=COC=C1,0.2237
207,NC1=COC=N1,0.2164
208,OC1=CNC=C1,0.2364
209,OC1=CNC=N1,0.2321
210,OC1=COC=N1,0.2252
211,CN1C=CC=C1,0.2469
212,CN1C=CN=C1,0.2541
213,C1=CC=CC=C1,0.2503
214,C1=CC=NC=C1,0.2293
215,C1=CN=CC=N1,0.1982
216,C1=CN=CN=C1,0.2116
217,C1=NC=NC=N1,0.2214
218,CC(C)(C)C#C,0.3214
219,CC(C)(C)C#N,0.3594
220,CC(C)(N)C#N,0.3024
221,CC(C)(O)C#C,0.3014
222,CC(C)(O)C#N,0.3148
223,CC(C)(C)C=O,0.2291
224,CC(C)(O)C=O,0.2265
225,CC(C)(C)CO,0.3363
226,CC(C)(O)CO,0.3346
227,CCC(C)(C)C,0.378
228,CCC(C)(C)O,0.3259
229,COC(C)(C)C,0.3245
230,CC#CC(C)=O,0.2082
231,CC#CC(N)=O,0.2342
232,CC#CC(C)C,0.3036
233,CC#CC(C)O,0.2908
234,CC(=O)CC#C,0.2275
235,CC(=O)CC#N,0.237
236,NC(=O)CC#C,0.2742
237,NC(=O)CC#N,0.2792
238,CC(=N)NC=O,0.2434
239,CC(=N)OC=O,0.2472
240,CC(=O)CC=O,0.2124
241,CC(=O)NC=N,0.2283
242,CC(=O)NC=O,0.2213
243,CC(=O)OC=N,0.2533
244,NC(=N)NC=O,0.2189
245,NC(=O)CC=O,0.2223
246,NC(=O)NC=N,0.2484
247,NC(=O)NC=O,0.242
248,NC(=O)OC=N,0.2767
249,CC(C)CC#C,0.3143
250,CC(C)CC#N,0.3507
251,CC(O)CC#C,0.3167
252,CC(O)CC#N,0.3214
253,CN(C)CC#N,0.2588
254,CC(C)CC=O,0.2284
255,CC(C)NC=O,0.2832
256,CC(C)OC=O,0.2863
257,CC(O)CC=O,0.2232
258,CN(C)CC=O,0.2016
259,CC(=O)CCO,0.2348
260,CCCC(C)=O,0.2345
261,CCCC(N)=O,0.2789
262,CCNC(C)=O,0.2783
263,CCNC(N)=O,0.3025
264,CCOC(C)=O,0.285
265,CCOC(N)=O,0.3235
266,C[NH2+]CC([O-])=O,0.2691
267,COCC(C)=O,0.2347
268,COCC(N)=O,0.2738
269,NC(=O)CCO,0.2798
270,[NH3+]CCC([O-])=O,0.1338
271,CC(C)CCO,0.342
272,CC(O)CCO,0.3302
273,CCCC(C)C,0.3901
274,CCCC(C)O,0.3352
275,CCOC(C)C,0.3333
276,COCC(C)C,0.3384
277,COCC(C)O,0.3359
278,CC(=O)C(C)=O,0.1582
279,CC(=O)C(N)=N,0.1968
280,CC(=O)C(N)=O,0.1784
281,NC(=[NH2+])C([O-])=O,0.1973
282,NC(=O)C(N)=O,0.21
283,CC(C)C(C)=O,0.2308
284,CC(C)C(N)=O,0.278
285,CC([NH3+])C([O-])=O,0.2683
286,CC(O)C(C)=O,0.2371
287,CC(O)C(N)=O,0.2786
288,CN(C)C(C)=O,0.2696
289,CN(C)C(N)=O,0.2909
290,CC(C)C(C)C,0.3838
291,CC(C)C(C)O,0.3297
292,CC(O)C(C)O,0.3208
293,CC1(C)CCC1,0.3649
294,CC1(C)CCO1,0.3205
295,CC1(C)COC1,0.3154
296,CC1(O)CCC1,0.3269
297,CC1(O)COC1,0.3076
298,CC1(C)CC1O,0.3327
299,CC1(O)CC1O,0.3221
300,CC1CC1(C)C,0.3445
301,CC1CC1(C)O,0.3256
302,CC1OC1(C)C,0.3468
303,CN1CC1(C)C,0.3063
304,CC1CC(=N)O1,0.2903
305,CC1CC(=O)C1,0.2231
306,CC1CC(=O)N1,0.2852
307,CC1CC(=O)O1,0.2861
308,CN1CC(=O)C1,0.2071
309,OC1CC(=O)C1,0.2214
310,CC1CC(C)C1,0.3739
311,CC1CC(C)O1,0.3341
312,CC1CC(O)C1,0.3318
313,CN1CC(O)C1,0.3034
314,OC1CC(O)C1,0.3216
315,CC12CC(C1)C2,0.3917
316,CC12CC(C1)O2,0.3319
317,CC12CN(C1)C2,0.3091
318,OC12CC(C1)C2,0.3397
319,OC12CN(C1)C2,0.3126
320,O=C(C#C)C#C,0.1902
321,O=C(C#C)C#N,0.1947
322,O=C(C#N)C#N,0.1977
323,O=CC(=O)C#C,0.1491
324,O=CC(=O)C#N,0.1475
325,O=CC(=O)C=O,0.1151
326,CC(C#C)C#C,0.2962
327,CC(C#C)C#N,0.2995
328,CC(C#N)C#N,0.3304
329,NC(C#C)C#N,0.2768
330,NC(C#N)C#N,0.2758
331,OC(C#C)C#C,0.2747
332,OC(C#C)C#N,0.2821
333,OC(C#N)C#N,0.3
334,CC(C=O)C#C,0.2213
335,CC(C=O)C#N,0.2256
336,OC(C=O)C#C,0.2216
337,OC(C=O)C#N,0.234
338,CC(C=O)C=O,0.1986
339,CN(C=N)C=O,0.2424
340,CN(C=O)C=O,0.2374
341,OC(C=O)C=O,0.1986
342,CN=C(N)C#N,0.2223
343,CN=C(N)C=O,0.187
344,CCC(=O)C#C,0.2087
345,CCC(=O)C#N,0.2122
346,CNC(=N)C#N,0.2121
347,CNC(=O)C#C,0.2349
348,COC(=O)C#C,0.2382
349,COC(=O)C#N,0.248
350,OCC(=O)C#C,0.2088
351,OCC(=O)C#N,0.2122
352,CCC(=O)C=O,0.1571
353,CNC(=N)C=O,0.1707
354,CNC(=O)C=O,0.178
355,COC(=O)C=O,0.1821
356,OCC(=O)C=O,0.1563
357,CCC(=O)CC,0.2356
358,CCC(=O)CO,0.2356
359,CCC(=O)NC,0.28
360,CCC(=O)OC,0.2871
361,CNC(=O)CO,0.2707
362,CNC(=O)NC,0.3052
363,CNC(=O)OC,0.3158
364,COC(=O)CN,0.2616
365,COC(=O)CO,0.2737
366,OCC(=O)CO,0.2348
367,COC(C)=NC,0.2761
368,CC(CO)C#C,0.3166
369,CC(CO)C#N,0.3246
370,CCC(C)C#C,0.3157
371,CCC(C)C#N,0.3527
372,CCC(N)C#N,0.298
373,CCC(O)C#C,0.2982
374,CCC(O)C#N,0.3145
375,CNC(C)C#N,0.2711
376,COC(C)C#C,0.2933
377,COC(C)C#N,0.3042
378,NC(CO)C#N,0.2834
379,NCC(N)C#N,0.28
380,NCC(O)C#N,0.2627
381,OCC(O)C#C,0.2813
382,OCC(O)C#N,0.2839
383,CC(CO)C=O,0.2304
384,CCC(C)C=O,0.227
385,CCC(O)C=O,0.2365
386,CCN(C)C=O,0.2735
387,COC(C)C=O,0.2269
388,OCC(O)C=O,0.2186
389,CC(CO)CO,0.3342
390,CCC(C)CC,0.3874
391,CCC(C)CO,0.3408
392,CCC(C)OC,0.3341
393,CCC(O)CC,0.3342
394,CCC(O)CO,0.3178
395,COC(C)CO,0.3335
396,OCC(O)CO,0.3096
397,CC1(CC1)C#C,0.2972
398,CC1(CC1)C#N,0.3224
399,CC1(CN1)C#C,0.2885
400,CC1(CN1)C#N,0.2969
401,CC1(CO1)C#C,0.2879
402,CC1(CO1)C#N,0.3038
403,NC1(CC1)C#N,0.3012
